,lat,long,elev
0,40.83471,-73.94743,26.1
1,40.83472,-73.94747,26.01
2,40.83444,-73.94766,26.27
3,40.83432,-73.94775,26.0
4,40.83413,-73.94808,23.63
5,40.83409,-73.94837,19.67
6,40.83416,-73.94861,17.02
7,40.83423,-73.94882,16.43
8,40.8343,-73.94898,16.45
9,40.83435,-73.94909,17.15
10,40.83428,-73.94914,16.38
11,40.8327,-73.94971,16.84
12,40.83259,-73.94968,19.06
13,40.83252,-73.94966,20.57
14,40.83229,-73.94961,22.42
15,40.83215,-73.94959,23.0
16,40.83208,-73.94958,23.0
17,40.83186,-73.94956,23.75
18,40.83162,-73.94956,23.75
19,40.83149,-73.94957,23.64
20,40.83146,-73.94958,23.54
21,40.83141,-73.94958,23.54
22,40.83119,-73.94963,24.0
23,40.83086,-73.94976,23.88
24,40.83078,-73.94979,24.15
25,40.83057,-73.94988,23.89
26,40.83044,-73.94992,23.86
27,40.83031,-73.94995,23.84
28,40.8301,-73.94998,23.28
29,40.82993,-73.95001,23.0
30,40.82984,-73.95002,23.0
31,40.82965,-73.95007,23.24
32,40.82962,-73.95007,23.32
33,40.82961,-73.95008,23.32
34,40.82953,-73.95011,24.08
35,40.82893,-73.95039,25.91
36,40.8283,-73.95086,25.82
37,40.82768,-73.95132,25.76
38,40.82714,-73.95192,25.23
39,40.82708,-73.95198,25.33
40,40.82708,-73.95198,25.33
41,40.82708,-73.95198,25.33
42,40.82642,-73.95253,23.68
43,40.82582,-73.95301,22.0
44,40.82576,-73.95303,22.0
45,40.82558,-73.95324,21.0
46,40.82544,-73.95345,19.94
47,40.82534,-73.95367,19.0
48,40.82531,-73.95373,19.0
49,40.82527,-73.95377,19.0
50,40.82474,-73.95435,20.81
51,40.82413,-73.95483,19.84
52,40.82373,-73.95519,17.68
53,40.82365,-73.95529,17.5
54,40.82359,-73.95532,17.65
55,40.82354,-73.95534,17.84
56,40.82347,-73.95537,18.0
57,40.82344,-73.95539,17.97
58,40.82294,-73.95566,18.9
59,40.8228,-73.95572,19.0
60,40.82274,-73.95575,19.37
61,40.8225,-73.95589,20.0
62,40.82229,-73.95607,21.67
63,40.82224,-73.95611,22.0
64,40.82172778,-73.95677251,18.0
65,40.82115578,-73.95754616,20.0
66,40.82061743,-73.95840873,23.0
67,40.82001177,-73.95887114,23.0
68,40.81939013,-73.95935339,23.0
69,40.81874409,-73.95975355,23.0
70,40.81811823,-73.96022485,24.0
71,40.81750582,-73.96069616,25.0
72,40.81672,-73.96136,29.0
73,40.81669,-73.96138,29.0
74,40.81664,-73.96143,28.68
75,40.81658,-73.9615,28.75
76,40.81653,-73.96156,28.56
77,40.81649,-73.96162,28.91
78,40.81634,-73.96189,28.53
79,40.81624,-73.962,28.76
80,40.8162,-73.96205,28.87
81,40.81615,-73.9621,28.71
82,40.81611,-73.96215,29.0
83,40.81609,-73.96217,29.0
84,40.81603,-73.96223,28.99
85,40.81599,-73.96226,29.18
86,40.81596,-73.9623,29.1
87,40.81591,-73.96234,28.77
88,40.81585,-73.96238,28.87
89,40.81579,-73.96243,28.87
90,40.81571,-73.96248,29.07
91,40.81488,-73.96288,32.27
92,40.81396,-73.96337,34.23
93,40.81336,-73.9637,35.04
94,40.81324,-73.96376,35.39
95,40.81314,-73.9638,35.08
96,40.81308,-73.96382,35.55
97,40.81298,-73.96385,35.42
98,40.81289,-73.96387,35.83
99,40.81284,-73.96388,36.0
100,40.81281,-73.96388,36.0
101,40.81274,-73.96389,36.42
102,40.81271,-73.96389,36.74
103,40.8124,-73.9639,38.0
104,40.81229,-73.9639,38.0
105,40.81204,-73.9639,38.0
106,40.81188,-73.96389,37.0
107,40.81175,-73.9639,37.0
108,40.81163,-73.96393,36.6
109,40.81157,-73.96395,36.0
110,40.81152,-73.96397,36.0
111,40.81147,-73.96399,36.0
112,40.81138,-73.96404,35.9
113,40.81129,-73.9641,35.0
114,40.81084,-73.96443,34.0
115,40.81079,-73.96447,34.0
116,40.81074,-73.9645,34.0
117,40.81,-73.96503,33.0
118,40.80895,-73.96581,29.0
119,40.80886,-73.96589,29.0
120,40.80886,-73.96589,29.0
121,40.80886,-73.96589,29.0
122,40.80882,-73.96579,29.35
123,40.80878,-73.9657,30.0
124,40.80866,-73.96541,31.0
125,40.80848,-73.96498,33.09
126,40.80857,-73.96491,32.98
127,40.80853,-73.96481,34.02
128,40.8085,-73.96473,36.96
129,40.8082,-73.96403,41.0
130,40.80818,-73.96404,41.0
131,40.80812,-73.96409,40.58
132,40.80811,-73.96409,40.49
